what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.gef,3.4.1.v20080806,org.eclipse.gef,1239542334040
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.1.R34x_v20081029,org.eclipse.equinox.p2.ui.sdk,1239542334041
stopped,bundle,org.eclipse.equinox.p2.ui,1.0.4.R34x_v20090123,org.eclipse.equinox.p2.ui,1239542334044
stopped,bundle,org.eclipse.equinox.security.ui,1.0.0.v20080603-1810,org.eclipse.equinox.security.ui,1239542334044
stopped,bundle,org.eclipse.jsch.ui,1.1.100.I20080415,org.eclipse.jsch.ui,1239542334044
stopped,bundle,org.eclipse.cdt.debug.mi.ui,5.0.1.200902130801,org.eclipse.cdt.debug.mi.ui,1239542334044
stopped,bundle,org.eclipse.cdt.launch,5.0.2.200902130801,org.eclipse.cdt.launch,1239542334044
stopped,bundle,org.eclipse.cdt.debug.ui,5.0.1.200902130801,org.eclipse.cdt.debug.ui,1239542334044
stopped,bundle,org.eclipse.cdt.managedbuilder.ui,5.0.2.200902130801,org.eclipse.cdt.managedbuilder.ui,1239542334044
stopped,bundle,org.eclipse.cdt.make.ui,5.0.1.200902130801,org.eclipse.cdt.make.ui,1239542334046
stopped,bundle,org.eclipse.cdt.mylyn.ui,5.0.1.200902130801,org.eclipse.cdt.mylyn.ui,1239542334046
stopped,bundle,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui,1239542334047
stopped,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,org.tigris.subversion.subclipse.mylyn,1239542334047
stopped,bundle,org.tigris.subversion.subclipse.ui,1.4.8,org.tigris.subversion.subclipse.ui,1239542334050
stopped,bundle,org.eclipse.jdt.ui,3.4.2.r342_v20090107-0800,org.eclipse.jdt.ui,1239542334056
stopped,bundle,org.eclipse.mylyn.bugzilla.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.bugzilla.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.ide.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.team.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.team.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.resources.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.resources.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.context.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.context.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.help.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.help.ui,1239542334057
stopped,bundle,org.eclipse.mylyn.tasks.bugs,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.bugs,1239542334057
stopped,bundle,org.eclipse.mylyn.tasks.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.tasks.ui,1239542334058
stopped,bundle,org.eclipse.search,3.4.1.r341_v20080813-0800,org.eclipse.search,1239542334058
stopped,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1239542334058
