what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1239316710260
started,bundle,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring,1239316716095
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316716487
executed,command,org.eclipse.ltk.ui.refactoring,3.4.1.r341_v20080716-0800,org.eclipse.ltk.ui.refactoring.commands.renameResource,1239316724980
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.rename,1239316724980
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316725080
activated,editor,org.eclipse.cdt.ui,5.0.2.200902130801,org.eclipse.cdt.ui.editor.CEditor,1239316728093
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1239316753207
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.edit.delete,1239316756519
executed,command,org.eclipse.ui,3.4.2.M20090204-0800,org.eclipse.ui.file.save,1239316758578
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316760358
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316857475
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316858119
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316872241
activated,view,org.eclipse.ui.navigator.resources,3.3.101.M20080910-0800,org.eclipse.ui.navigator.ProjectExplorer,1239316874710
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316879301
opened,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1239316891365
activated,editor,org.eclipse.ui.editors,3.4.0.v20080603-2000,org.eclipse.ui.DefaultTextEditor,1239316891442
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316891624
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316894796
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316895769
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316897295
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316898217
deactivated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316898639
activated,workbench,org.eclipse.ui.workbench,3.4.2.M20090127-1700,,1239316899313
